Incident Angle (deg),Reflectance (%) p-pol
 44.7655423075576 , 5.56419397445397E-08 
 44.7700614459266 , 4.71340651834326E-08 
 44.7728859074072 , 4.21739021786633E-08 
 44.7774756573131 , 3.47001616962206E-08 
 44.7820654072191 , 2.79530889854435E-08 
 44.7849340009103 , 2.41054317753294E-08 
 44.7893836140736 , 1.869954568284E-08 
 44.7921646223006 , 1.5668358637479E-08 
 44.7949456305277 , 1.29046247038229E-08 
 44.7966837606696 , 1.13131632405478E-08 
 44.7994647688966 , 8.98431046162033E-09 
 44.8012028990385 , 7.66475416189791E-09 
 44.8040273605191 , 5.74365477972613E-09 
 44.8057387501973 , 4.71411130243913E-09 
 44.8068083687462 , 4.12219687711968E-09 
 44.8085464988881 , 3.24493221519375E-09 
 44.81028462903 , 2.4724327800522E-09 
 44.8113709603687 , 2.04283547564826E-09 
 44.8124405789175 , 1.65985087881276E-09 
 44.8131090905106 , 1.44064554171399E-09 
 44.8141954218493 , 1.11751722032722E-09 
 44.815281753188 , 8.3535211353137E-10 
 44.8159607102746 , 6.7980391390374E-10 
 44.8170138731535 , 4.70195960900878E-10 
 44.8176720999528 , 3.58750687171482E-10 
 44.8183303267521 , 2.62353352819791E-10 
 44.8187417185017 , 2.09747298248988E-10 
 44.8191467811474 , 1.63694757507949E-10 
 44.819399945301 , 1.37806454221201E-10 
 44.8198113370505 , 1.00487094662639E-10 
 44.8202227288001 , 6.90479728173685E-11 
 44.8204798486436 , 5.23847623217259E-11 
 44.820729117964 , 3.84234101844656E-11 
 44.8208849112893 , 3.07940184810239E-11 
 44.8210407046146 , 2.40080791954054E-11 
 44.8211380754429 , 2.01951927590017E-11 
 44.8212938687682 , 1.47799112924294E-11 
 44.8213912395965 , 1.18237044233812E-11 
 44.8214886104248 , 9.19699950389562E-12 
 44.8215494671924 , 7.72263654841631E-12 
 44.821645340008 , 5.66106131206883E-12 
 44.8217052605177 , 4.53479978417566E-12 
 44.8217651810274 , 3.53332672002678E-12 
 44.821802631346 , 2.97077575232211E-12 
 44.8218625518557 , 2.17208663953839E-12 
 44.8219000021743 , 1.73627669560933E-12 
 44.8219374524929 , 1.34921386065157E-12 
 44.821960858942 , 1.13205410478081E-12 
 44.8219977331018 , 8.28572884879576E-13 
 44.8220207794517 , 6.6289606818469E-13 
 44.8220438258016 , 5.15680075845402E-13 
 44.8220582297703 , 4.3304474678291E-13 
 44.8220812761202 , 3.15827739601926E-13 
 44.8220956800889 , 2.51941837469933E-13 
 44.8221100840576 , 1.95267287347903E-13 
 44.822119086538 , 1.63507710827733E-13 
 44.8221332689072 , 1.19188653301642E-13 
 44.8221421328879 , 9.5039466384184E-14 
 44.8221565368566 , 6.16216390977733E-14 
 44.8221709408253 , 3.54152334366206E-14 
 44.8221799433057 , 2.26982878681233E-14 
 44.8221943472744 , 8.21048429729375E-15 
 44.8222033497548 , 2.8176807266073E-15 
 44.8222123522352 , 2.41862203903271E-16 
 44.8222179787855 , 6.24777055441834E-17 
 44.8222317281308 , 4.25406251844952E-15 
 44.8222403214717 , 1.02105986836734E-14 
 44.8222542856506 , 2.53644097955427E-14 
 44.8222682498294 , 4.72961152945538E-14 
 44.8222769774412 , 6.44453349866144E-14 
 44.8222909416201 , 9.73911507307225E-14 
 44.8222996692319 , 1.21424204711214E-13 
 44.822313851601 , 1.6612483019773E-13 
 44.8223365433917 , 2.5218799899679E-13 
 44.8223507257609 , 3.15066371270494E-13 
 44.8223737721108 , 4.32155230277764E-13 
 44.8223964639014 , 5.65480783055903E-13 
 44.8224106462706 , 6.57898236584684E-13 
 44.8224336926205 , 8.22988252093172E-13 
 44.8224711429391 , 1.13063579404016E-12 
 44.8225080170989 , 1.48118285348109E-12 
 44.8225310634488 , 1.72427579382958E-12 
 44.8225685137674 , 2.15867873835923E-12 
 44.8226293705351 , 2.96856391140187E-12 
 44.8226892910448 , 3.89177238818851E-12 
 44.8227267413634 , 4.53215735017942E-12 
 44.822787598131 , 5.67676606578852E-12 
 44.8228864903785 , 7.81133884477073E-12 
 44.8229838612068 , 1.0245232527039E-11 
 44.8230447179745 , 1.19337862181553E-11 
 44.823143610222 , 1.49522815549491E-11 
 44.8233043101242 , 2.05824536434877E-11 
 44.8235535794446 , 3.10920542403286E-11 
 44.8237093727699 , 3.87575340285974E-11 
 44.8239625369235 , 5.30137376223941E-11 
 44.8242157010771 , 6.94983472697706E-11 
 44.824373928673 , 8.09328832984975E-11 
 44.8246270928266 , 1.01038857053232E-10 
 44.8247853204226 , 1.14736824701487E-10 
 44.8250424402661 , 1.3885284362324E-10 
 44.8254538320156 , 1.82220454888421E-10 
 44.8257109518591 , 2.12314106773244E-10 
 44.8261287716048 , 2.66120248086905E-10 
 44.8267972831978 , 3.64839891514122E-10 
 44.8272151029435 , 4.3443397633539E-10 
 44.8278940600301 , 5.60477257371929E-10 
 44.828963678579 , 7.91580548302678E-10 
 44.829632190172 , 9.56236795960738E-10 
 44.8307185215107 , 1.25697650846142E-09 
 44.8318048528494 , 1.59879454250482E-09 
 44.8324838099361 , 1.8332942649819E-09 
 44.8335701412748 , 2.24188072998357E-09 
 44.8342490983615 , 2.51811697470183E-09 
 44.8353524036273 , 3.00124578830354E-09 
 44.8370637933055 , 3.83455640326023E-09 
 44.8381334118544 , 4.40720076955916E-09 
 44.8398715419963 , 5.42279537529141E-09 
 44.8416096721382 , 6.54371397787301E-09 
 44.8426960034769 , 7.29778675113054E-09 
 44.8444341336188 , 8.58992311503129E-09 
 44.8455204649575 , 9.45103263277681E-09 
 44.8472857533828 , 1.0938171682408E-08 
 44.8501102148634 , 1.35438656047255E-08 
 44.8518755032888 , 1.53138947816766E-08 
 44.85474409698 , 1.84223900777439E-08 
 44.859333846886 , 2.39942592528198E-08 
 44.8622024405772 , 2.78508187353457E-08 
 44.8668639053254 , 3.47319739186264E-08 
 44.8713135184887 , 4.20103152882068E-08 
 44.8740945267158 , 4.69116374980091E-08 
 44.8786136650847 , 5.54547585871558E-08 
 44.8859572649342 , 7.08661229706885E-08 
 44.8933008647838 , 8.81723316310704E-08 
 44.8978906146898 , 9.99519850094828E-08 
 44.9052342145393 , 1.20342344315541E-07 
 44.9098239644453 , 1.34051539206877E-07 
 44.9172823080424 , 1.5791427804095E-07 
 44.9292156577979 , 2.00182700797401E-07 
 44.9366740013951 , 2.29159358996519E-07 
 44.9487938097406 , 2.8045207176063E-07 
 44.9607271594961 , 3.36052141226786E-07 
 44.9681855030932 , 3.73374733393298E-07 
 44.9803053114387 , 4.38252020341832E-07 
 45 , 5.54867049886641E-07 
 45.0185103907592 , 6.77134494408289E-07 
 45.0300793849837 , 7.59801069199681E-07 
 45.0488790005985 , 9.04415361048687E-07 
 45.0794283759726 , 1.16665500520531E-06 
 45.1099777513467 , 1.46277335504105E-06 
 45.1290711109555 , 1.66512867071311E-06 
 45.1596204863296 , 2.01667146191076E-06 
 45.1787138459384 , 2.2538113382541E-06 
 45.2097405553027 , 2.66788139478146E-06 
 45.2402899306768 , 3.11047654035982E-06 
 45.2593832902856 , 3.40476049717039E-06 
 45.2904099996499 , 3.91207875143763E-06 
 45.3408284023669 , 4.81376108979675E-06 
 45.3904711373497 , 5.79574833708465E-06 
 45.421497846714 , 6.45728888592932E-06 
 45.471916249431 , 7.61128095207196E-06 
 45.522334652148 , 8.86378143196936E-06 
 45.5538461538462 , 9.69698322906517E-06 
 45.603488888829 , 1.10887967498798E-05 
 45.6345155981933 , 1.20081879441519E-05 
 45.6849340009103 , 1.35840066699065E-05 
 45.7668639053254 , 1.63626723709234E-05 
 45.8487938097406 , 1.94143611937208E-05 
 45.9 , 2.14619389661363E-05 
